"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","TERMTRADE","TOT","RT","A","2007",101.174744927663,
"BEL","TERMTRADE","TOT","RT","A","2008",98.5314040130062,
"BEL","TERMTRADE","TOT","RT","A","2009",101.505977455688,
"BEL","TERMTRADE","TOT","RT","A","2010",99.7413951988768,
"BEL","TERMTRADE","TOT","RT","A","2011",98.3081400257264,
"BEL","TERMTRADE","TOT","RT","A","2012",98.3198135323788,
"BEL","TERMTRADE","TOT","RT","A","2013",98.6807737263436,
"BEL","TERMTRADE","TOT","RT","A","2014",99.0119979296725,
"BEL","TERMTRADE","TOT","RT","A","2015",100,
"BEL","TERMTRADE","TOT","RT","A","2016",100.849018326818,
"BEL","TERMTRADE","TOT","RT","A","2017",100.34895434497,
"BEL","TERMTRADE","TOT","RT","A","2018",99.5713216380055,
"BEL","TERMTRADE","TOT","RT","A","2019",100.331523753627,
"BEL","TERMTRADE","TOT","RT","A","2020",100.791925344436,"E"
"BEL","TERMTRADE","TOT","RT","A","2021",100.0581818986,"E"
"CAN","TERMTRADE","TOT","RT","A","2006",103.503710809865,
"CAN","TERMTRADE","TOT","RT","A","2007",106.608627090456,
"CAN","TERMTRADE","TOT","RT","A","2008",111.233370174029,
"CAN","TERMTRADE","TOT","RT","A","2009",101.097686353168,
"CAN","TERMTRADE","TOT","RT","A","2010",106.454976133902,
"CAN","TERMTRADE","TOT","RT","A","2011",110.025088283903,
"CAN","TERMTRADE","TOT","RT","A","2012",108.366856396758,
"CAN","TERMTRADE","TOT","RT","A","2013",109.047712732335,
"CAN","TERMTRADE","TOT","RT","A","2014",107.524146562995,
"CAN","TERMTRADE","TOT","RT","A","2015",100,
"CAN","TERMTRADE","TOT","RT","A","2016",98.8946935446785,
"CAN","TERMTRADE","TOT","RT","A","2017",102.490197809774,
"CAN","TERMTRADE","TOT","RT","A","2018",103.247583266801,
"CAN","TERMTRADE","TOT","RT","A","2019",103.129382056119,
"CAN","TERMTRADE","TOT","RT","A","2020",98.8005249891934,
"CAN","TERMTRADE","TOT","RT","A","2021",112.601660012234,
"CZE","TERMTRADE","TOT","RT","A","2006",99.3361541884619,
"CZE","TERMTRADE","TOT","RT","A","2007",100.431621342725,
"CZE","TERMTRADE","TOT","RT","A","2008",99.1938209134068,
"CZE","TERMTRADE","TOT","RT","A","2009",101.216789434343,
"CZE","TERMTRADE","TOT","RT","A","2010",99.2140372040017,
"CZE","TERMTRADE","TOT","RT","A","2011",97.6816109665636,
"CZE","TERMTRADE","TOT","RT","A","2012",97.1244225758952,
"CZE","TERMTRADE","TOT","RT","A","2013",98.1791090684066,
"CZE","TERMTRADE","TOT","RT","A","2014",99.6156602292241,
"CZE","TERMTRADE","TOT","RT","A","2015",100,
"CZE","TERMTRADE","TOT","RT","A","2016",101.022403283027,
"CZE","TERMTRADE","TOT","RT","A","2017",99.9913524027174,
"CZE","TERMTRADE","TOT","RT","A","2018",100.004571856439,
"CZE","TERMTRADE","TOT","RT","A","2019",100.491819429557,
"CZE","TERMTRADE","TOT","RT","A","2020",102.248229030323,
"CZE","TERMTRADE","TOT","RT","A","2021",102.346688595018,
"DNK","TERMTRADE","TOT","RT","A","2006",94.650842102343,
"DNK","TERMTRADE","TOT","RT","A","2007",94.1453976263138,
"DNK","TERMTRADE","TOT","RT","A","2008",95.849209253102,
"DNK","TERMTRADE","TOT","RT","A","2009",96.1018704392009,
"DNK","TERMTRADE","TOT","RT","A","2010",98.4380702425101,
"DNK","TERMTRADE","TOT","RT","A","2011",96.5763125787484,
"DNK","TERMTRADE","TOT","RT","A","2012",97.1033711480347,
"DNK","TERMTRADE","TOT","RT","A","2013",98.1062916456581,
"DNK","TERMTRADE","TOT","RT","A","2014",99.6267186955178,
"DNK","TERMTRADE","TOT","RT","A","2015",100,
"DNK","TERMTRADE","TOT","RT","A","2016",99.864649505968,
"DNK","TERMTRADE","TOT","RT","A","2017",99.8558963701858,
"DNK","TERMTRADE","TOT","RT","A","2018",99.0721303906284,
"DNK","TERMTRADE","TOT","RT","A","2019",98.9656079805527,
"DNK","TERMTRADE","TOT","RT","A","2020",101.184506742979,
"DNK","TERMTRADE","TOT","RT","A","2021",100.987943165834,
"FIN","TERMTRADE","TOT","RT","A","2006",100.962783066236,
"FIN","TERMTRADE","TOT","RT","A","2007",100.894138573564,
"FIN","TERMTRADE","TOT","RT","A","2008",98.9772007566518,
"FIN","TERMTRADE","TOT","RT","A","2009",100.218850787213,
"FIN","TERMTRADE","TOT","RT","A","2010",98.1525775192459,
"FIN","TERMTRADE","TOT","RT","A","2011",96.6088477207072,
"FIN","TERMTRADE","TOT","RT","A","2012",95.5904331711735,
"FIN","TERMTRADE","TOT","RT","A","2013",96.294119480995,
"FIN","TERMTRADE","TOT","RT","A","2014",96.9834475851166,
"FIN","TERMTRADE","TOT","RT","A","2015",100,
"FIN","TERMTRADE","TOT","RT","A","2016",99.7334531898326,
"FIN","TERMTRADE","TOT","RT","A","2017",99.2315774045243,
"FIN","TERMTRADE","TOT","RT","A","2018",99.9772375693035,
"FIN","TERMTRADE","TOT","RT","A","2019",99.4534991113647,
"FIN","TERMTRADE","TOT","RT","A","2020",100.623213164496,
"FIN","TERMTRADE","TOT","RT","A","2021",101.211343672505,
"FRA","TERMTRADE","TOT","RT","A","2006",95.589377134575,
"FRA","TERMTRADE","TOT","RT","A","2007",96.6882004269756,
"FRA","TERMTRADE","TOT","RT","A","2008",96.0543283895821,
"FRA","TERMTRADE","TOT","RT","A","2009",98.6016884055517,
"FRA","TERMTRADE","TOT","RT","A","2010",97.2412358434773,
"FRA","TERMTRADE","TOT","RT","A","2011",94.9183057327216,
"FRA","TERMTRADE","TOT","RT","A","2012",94.6190964890351,
"FRA","TERMTRADE","TOT","RT","A","2013",95.7147191779168,
"FRA","TERMTRADE","TOT","RT","A","2014",96.9057765591016,
"FRA","TERMTRADE","TOT","RT","A","2015",100,
"FRA","TERMTRADE","TOT","RT","A","2016",100.98525154301,
"FRA","TERMTRADE","TOT","RT","A","2017",99.6762666214779,
"FRA","TERMTRADE","TOT","RT","A","2018",98.5367631286311,
"FRA","TERMTRADE","TOT","RT","A","2019",99.3909007826015,"E"
"FRA","TERMTRADE","TOT","RT","A","2020",99.9645298144305,"E"
"FRA","TERMTRADE","TOT","RT","A","2021",99.072031639265,"E"
"DEU","TERMTRADE","TOT","RT","A","2006",97.2388824550762,
"DEU","TERMTRADE","TOT","RT","A","2007",97.7196722116934,
"DEU","TERMTRADE","TOT","RT","A","2008",96.0589633644615,
"DEU","TERMTRADE","TOT","RT","A","2009",100.358300017631,
"DEU","TERMTRADE","TOT","RT","A","2010",98.1232553018328,
"DEU","TERMTRADE","TOT","RT","A","2011",95.5925241551214,
"DEU","TERMTRADE","TOT","RT","A","2012",95.4297392900941,
"DEU","TERMTRADE","TOT","RT","A","2013",96.4590517844153,
"DEU","TERMTRADE","TOT","RT","A","2014",97.7047882726217,
"DEU","TERMTRADE","TOT","RT","A","2015",100,
"DEU","TERMTRADE","TOT","RT","A","2016",101.757364468466,
"DEU","TERMTRADE","TOT","RT","A","2017",100.895960480879,
"DEU","TERMTRADE","TOT","RT","A","2018",100.105210275265,"E"
"DEU","TERMTRADE","TOT","RT","A","2019",100.797042515794,"E"
"DEU","TERMTRADE","TOT","RT","A","2020",102.864129899368,"E"
"DEU","TERMTRADE","TOT","RT","A","2021",100.46215544667,"E"
"GRC","TERMTRADE","TOT","RT","A","2006",93.7423245209392,
"GRC","TERMTRADE","TOT","RT","A","2007",94.204867256328,
"GRC","TERMTRADE","TOT","RT","A","2008",93.1268039969557,
"GRC","TERMTRADE","TOT","RT","A","2009",92.4981232200378,
"GRC","TERMTRADE","TOT","RT","A","2010",95.6992930065455,"B"
"GRC","TERMTRADE","TOT","RT","A","2011",94.2890193957172,
"GRC","TERMTRADE","TOT","RT","A","2012",92.6889405123261,
"GRC","TERMTRADE","TOT","RT","A","2013",94.2096052003522,
"GRC","TERMTRADE","TOT","RT","A","2014",95.8850388820341,
"GRC","TERMTRADE","TOT","RT","A","2015",100,
"GRC","TERMTRADE","TOT","RT","A","2016",101.178156965628,
"GRC","TERMTRADE","TOT","RT","A","2017",100.409368445086,
"GRC","TERMTRADE","TOT","RT","A","2018",98.3057097495509,
"GRC","TERMTRADE","TOT","RT","A","2019",97.7431009950689,"E"
"GRC","TERMTRADE","TOT","RT","A","2020",96.9478354277229,"E"
"GRC","TERMTRADE","TOT","RT","A","2021",95.6019457624936,"E"
"HUN","TERMTRADE","TOT","RT","A","2006",100.19455016452,
"HUN","TERMTRADE","TOT","RT","A","2007",100.619399352246,
"HUN","TERMTRADE","TOT","RT","A","2008",99.7312820394036,
"HUN","TERMTRADE","TOT","RT","A","2009",100.487350735671,
"HUN","TERMTRADE","TOT","RT","A","2010",100.520557373386,
"HUN","TERMTRADE","TOT","RT","A","2011",99.1309959473788,
"HUN","TERMTRADE","TOT","RT","A","2012",98.1730378660181,
"HUN","TERMTRADE","TOT","RT","A","2013",98.6812222139133,
"HUN","TERMTRADE","TOT","RT","A","2014",99.2918541591143,
"HUN","TERMTRADE","TOT","RT","A","2015",100,
"HUN","TERMTRADE","TOT","RT","A","2016",100.66553921738,
"HUN","TERMTRADE","TOT","RT","A","2017",100.223412466625,
"HUN","TERMTRADE","TOT","RT","A","2018",99.2947677220931,
"HUN","TERMTRADE","TOT","RT","A","2019",99.5651766049695,
"HUN","TERMTRADE","TOT","RT","A","2020",101.603560109999,"E"
"HUN","TERMTRADE","TOT","RT","A","2021",98.4320049414665,"E"
"ISL","TERMTRADE","TOT","RT","A","2006",112.919089082377,
"ISL","TERMTRADE","TOT","RT","A","2007",108.861901956327,
"ISL","TERMTRADE","TOT","RT","A","2008",101.539754088442,
"ISL","TERMTRADE","TOT","RT","A","2009",93.689338742327,
"ISL","TERMTRADE","TOT","RT","A","2010",97.9048315073784,
"ISL","TERMTRADE","TOT","RT","A","2011",95.2860697589877,
"ISL","TERMTRADE","TOT","RT","A","2012",92.356768592127,
"ISL","TERMTRADE","TOT","RT","A","2013",90.5851748196319,
"ISL","TERMTRADE","TOT","RT","A","2014",93.629902885268,
"ISL","TERMTRADE","TOT","RT","A","2015",100,
"ISL","TERMTRADE","TOT","RT","A","2016",102.668682292402,
"ISL","TERMTRADE","TOT","RT","A","2017",104.218940198822,
"ISL","TERMTRADE","TOT","RT","A","2018",100.384455578657,
"ISL","TERMTRADE","TOT","RT","A","2019",99.6256942400865,
"ISL","TERMTRADE","TOT","RT","A","2020",98.4533726143853,
"ISL","TERMTRADE","TOT","RT","A","2021",102.04899587678,
"IRL","TERMTRADE","TOT","RT","A","2006",101.389939644984,
"IRL","TERMTRADE","TOT","RT","A","2007",101.872822439414,
"IRL","TERMTRADE","TOT","RT","A","2008",102.93997772545,
"IRL","TERMTRADE","TOT","RT","A","2009",101.464891269118,
"IRL","TERMTRADE","TOT","RT","A","2010",98.0976532680969,
"IRL","TERMTRADE","TOT","RT","A","2011",100.089805578356,
"IRL","TERMTRADE","TOT","RT","A","2012",98.2138318631527,
"IRL","TERMTRADE","TOT","RT","A","2013",98.042115712251,
"IRL","TERMTRADE","TOT","RT","A","2014",96.0878215928862,
"IRL","TERMTRADE","TOT","RT","A","2015",100,
"IRL","TERMTRADE","TOT","RT","A","2016",99.807763306052,
"IRL","TERMTRADE","TOT","RT","A","2017",98.1121313405734,
"IRL","TERMTRADE","TOT","RT","A","2018",96.7556466100891,
"IRL","TERMTRADE","TOT","RT","A","2019",98.001657590211,
"IRL","TERMTRADE","TOT","RT","A","2020",97.046280284789,
"IRL","TERMTRADE","TOT","RT","A","2021",94.889626654151,
"ITA","TERMTRADE","TOT","RT","A","2006",97.3395081144672,
"ITA","TERMTRADE","TOT","RT","A","2007",98.4696941237779,
"ITA","TERMTRADE","TOT","RT","A","2008",96.0664987277428,
"ITA","TERMTRADE","TOT","RT","A","2009",101.643930039046,
"ITA","TERMTRADE","TOT","RT","A","2010",97.6052525525421,
"ITA","TERMTRADE","TOT","RT","A","2011",95.0541234829037,
"ITA","TERMTRADE","TOT","RT","A","2012",93.7023279233795,
"ITA","TERMTRADE","TOT","RT","A","2013",95.2804267999739,
"ITA","TERMTRADE","TOT","RT","A","2014",97.7315481195045,
"ITA","TERMTRADE","TOT","RT","A","2015",100,
"ITA","TERMTRADE","TOT","RT","A","2016",103.253093559401,
"ITA","TERMTRADE","TOT","RT","A","2017",101.7230088576,
"ITA","TERMTRADE","TOT","RT","A","2018",101.172500712039,
"ITA","TERMTRADE","TOT","RT","A","2019",102.067271641838,
"ITA","TERMTRADE","TOT","RT","A","2020",105.838161089764,
"ITA","TERMTRADE","TOT","RT","A","2021",100.941707130198,
"JPN","TERMTRADE","TOT","RT","A","2006",111.841839152028,
"JPN","TERMTRADE","TOT","RT","A","2007",107.446551214793,
"JPN","TERMTRADE","TOT","RT","A","2008",97.6209296082847,
"JPN","TERMTRADE","TOT","RT","A","2009",109.410582054819,
"JPN","TERMTRADE","TOT","RT","A","2010",103.254283621499,
"JPN","TERMTRADE","TOT","RT","A","2011",95.3245148943432,
"JPN","TERMTRADE","TOT","RT","A","2012",94.0557651847388,
"JPN","TERMTRADE","TOT","RT","A","2013",93.0123473647386,
"JPN","TERMTRADE","TOT","RT","A","2014",92.2802324235979,
"JPN","TERMTRADE","TOT","RT","A","2015",100,
"JPN","TERMTRADE","TOT","RT","A","2016",105.640467742308,
"JPN","TERMTRADE","TOT","RT","A","2017",101.610787524777,
"JPN","TERMTRADE","TOT","RT","A","2018",97.3795363914039,
"JPN","TERMTRADE","TOT","RT","A","2019",98.0638362569498,
"JPN","TERMTRADE","TOT","RT","A","2020",103.325462288124,
"KOR","TERMTRADE","TOT","RT","A","2006",97.3744888932576,
"KOR","TERMTRADE","TOT","RT","A","2007",97.0556311084768,
"KOR","TERMTRADE","TOT","RT","A","2008",90.4339788346637,
"KOR","TERMTRADE","TOT","RT","A","2009",93.7802094623691,
"KOR","TERMTRADE","TOT","RT","A","2010",93.957160145065,
"KOR","TERMTRADE","TOT","RT","A","2011",89.5250430232972,
"KOR","TERMTRADE","TOT","RT","A","2012",89.5072258995965,
"KOR","TERMTRADE","TOT","RT","A","2013",91.4654823718668,
"KOR","TERMTRADE","TOT","RT","A","2014",92.2653343917303,
"KOR","TERMTRADE","TOT","RT","A","2015",100,
"KOR","TERMTRADE","TOT","RT","A","2016",103.565735969479,
"KOR","TERMTRADE","TOT","RT","A","2017",103.786764979583,
"KOR","TERMTRADE","TOT","RT","A","2018",100.437970726508,
"KOR","TERMTRADE","TOT","RT","A","2019",94.5577682829923,
"KOR","TERMTRADE","TOT","RT","A","2020",96.201892960291,"E"
"LUX","TERMTRADE","TOT","RT","A","2006",94.859081790572,
"LUX","TERMTRADE","TOT","RT","A","2007",93.7147474722178,
"LUX","TERMTRADE","TOT","RT","A","2008",96.5264824139409,
"LUX","TERMTRADE","TOT","RT","A","2009",98.0001589253733,
"LUX","TERMTRADE","TOT","RT","A","2010",98.6957684129101,
"LUX","TERMTRADE","TOT","RT","A","2011",98.8902807480208,
"LUX","TERMTRADE","TOT","RT","A","2012",99.0739550389428,
"LUX","TERMTRADE","TOT","RT","A","2013",99.4539306689896,
"LUX","TERMTRADE","TOT","RT","A","2014",100.210457190169,
"LUX","TERMTRADE","TOT","RT","A","2015",100,
"LUX","TERMTRADE","TOT","RT","A","2016",99.3644449106983,
"LUX","TERMTRADE","TOT","RT","A","2017",98.8765494187647,
"LUX","TERMTRADE","TOT","RT","A","2018",98.7759794899977,
"LUX","TERMTRADE","TOT","RT","A","2019",97.8529951135227,
"LUX","TERMTRADE","TOT","RT","A","2020",99.5168017407357,
"LUX","TERMTRADE","TOT","RT","A","2021",100.775965797576,
"MEX","TERMTRADE","TOT","RT","A","2006",109.967334948009,
"MEX","TERMTRADE","TOT","RT","A","2007",111.931931863271,
"MEX","TERMTRADE","TOT","RT","A","2008",114.377000551871,
"MEX","TERMTRADE","TOT","RT","A","2009",110.346696679985,
"MEX","TERMTRADE","TOT","RT","A","2010",107.083216966224,
"MEX","TERMTRADE","TOT","RT","A","2011",105.098034232937,
"MEX","TERMTRADE","TOT","RT","A","2012",104.673715722851,
"MEX","TERMTRADE","TOT","RT","A","2013",105.594538705793,
"MEX","TERMTRADE","TOT","RT","A","2014",104.534079349991,
"MEX","TERMTRADE","TOT","RT","A","2015",100,
"MEX","TERMTRADE","TOT","RT","A","2016",99.830860552683,
"MEX","TERMTRADE","TOT","RT","A","2017",102.448766055894,
"MEX","TERMTRADE","TOT","RT","A","2018",102.476221780192,
"MEX","TERMTRADE","TOT","RT","A","2019",104.790258303051,"E"
"MEX","TERMTRADE","TOT","RT","A","2020",103.498261383272,"E"
"NLD","TERMTRADE","TOT","RT","A","2006",101.474110271094,
"NLD","TERMTRADE","TOT","RT","A","2007",101.195457092927,
"NLD","TERMTRADE","TOT","RT","A","2008",101.033189458943,
"NLD","TERMTRADE","TOT","RT","A","2009",101.920222476454,
"NLD","TERMTRADE","TOT","RT","A","2010",100.112042086846,
"NLD","TERMTRADE","TOT","RT","A","2011",98.574536772685,
"NLD","TERMTRADE","TOT","RT","A","2012",98.6003401943737,
"NLD","TERMTRADE","TOT","RT","A","2013",98.9689107268914,
"NLD","TERMTRADE","TOT","RT","A","2014",98.8848679940248,
"NLD","TERMTRADE","TOT","RT","A","2015",100,
"NLD","TERMTRADE","TOT","RT","A","2016",100.5781969263,
"NLD","TERMTRADE","TOT","RT","A","2017",100.352532415005,
"NLD","TERMTRADE","TOT","RT","A","2018",100.216486003816,
"NLD","TERMTRADE","TOT","RT","A","2019",100.790019690724,
"NLD","TERMTRADE","TOT","RT","A","2020",101.766348310324,"E"
"NLD","TERMTRADE","TOT","RT","A","2021",100.111732281887,"E"
"NZL","TERMTRADE","TOT","RT","A","2006",87.2254006056422,
"NZL","TERMTRADE","TOT","RT","A","2007",94.3839111733551,
"NZL","TERMTRADE","TOT","RT","A","2008",92.8027313029012,
"NZL","TERMTRADE","TOT","RT","A","2009",88.6516645979444,
"NZL","TERMTRADE","TOT","RT","A","2010",95.6115359415202,
"NZL","TERMTRADE","TOT","RT","A","2011",97.0027391695447,
"NZL","TERMTRADE","TOT","RT","A","2012",92.7615499749286,
"NZL","TERMTRADE","TOT","RT","A","2013",103.535899898277,
"NZL","TERMTRADE","TOT","RT","A","2014",103.293815326871,
"NZL","TERMTRADE","TOT","RT","A","2015",100,
"NZL","TERMTRADE","TOT","RT","A","2016",103.028755679406,
"NZL","TERMTRADE","TOT","RT","A","2017",107.283451874626,
"NZL","TERMTRADE","TOT","RT","A","2018",104.545200560629,"E"
"NZL","TERMTRADE","TOT","RT","A","2019",107.233530746562,"E"
"NZL","TERMTRADE","TOT","RT","A","2020",106.389794947563,"E"
"NOR","TERMTRADE","TOT","RT","A","2006",110.981224261216,
"NOR","TERMTRADE","TOT","RT","A","2007",108.329909204834,
"NOR","TERMTRADE","TOT","RT","A","2008",122.133029352327,
"NOR","TERMTRADE","TOT","RT","A","2009",101.648050684622,
"NOR","TERMTRADE","TOT","RT","A","2010",108.443720682834,
"NOR","TERMTRADE","TOT","RT","A","2011",118.35048089463,
"NOR","TERMTRADE","TOT","RT","A","2012",121.661999726178,
"NOR","TERMTRADE","TOT","RT","A","2013",121.674542997324,
"NOR","TERMTRADE","TOT","RT","A","2014",114.105159739169,
"NOR","TERMTRADE","TOT","RT","A","2015",100,
"NOR","TERMTRADE","TOT","RT","A","2016",91.2459386351705,
"NOR","TERMTRADE","TOT","RT","A","2017",95.5084694267337,
"NOR","TERMTRADE","TOT","RT","A","2018",104.350492648345,
"NOR","TERMTRADE","TOT","RT","A","2019",95.9895702105449,
"NOR","TERMTRADE","TOT","RT","A","2020",79.9997585846932,
"NOR","TERMTRADE","TOT","RT","A","2021",114.124467820247,
"POL","TERMTRADE","TOT","RT","A","2006",95.4935022538346,
"POL","TERMTRADE","TOT","RT","A","2007",97.0834943579509,
"POL","TERMTRADE","TOT","RT","A","2008",95.7037895942966,
"POL","TERMTRADE","TOT","RT","A","2009",98.7303024014423,
"POL","TERMTRADE","TOT","RT","A","2010",97.2905515499113,
"POL","TERMTRADE","TOT","RT","A","2011",95.7665782386515,
"POL","TERMTRADE","TOT","RT","A","2012",94.5627547462243,
"POL","TERMTRADE","TOT","RT","A","2013",95.5629310028392,
"POL","TERMTRADE","TOT","RT","A","2014",97.3676015411828,
"POL","TERMTRADE","TOT","RT","A","2015",100,
"POL","TERMTRADE","TOT","RT","A","2016",100.482646431428,
"POL","TERMTRADE","TOT","RT","A","2017",100.679299583468,
"POL","TERMTRADE","TOT","RT","A","2018",99.6383967206114,
"POL","TERMTRADE","TOT","RT","A","2019",100.855322518359,
"POL","TERMTRADE","TOT","RT","A","2020",103.667071245393,
"POL","TERMTRADE","TOT","RT","A","2021",102.072114752451,
"PRT","TERMTRADE","TOT","RT","A","2006",94.1063971104689,
"PRT","TERMTRADE","TOT","RT","A","2007",94.5405781038368,
"PRT","TERMTRADE","TOT","RT","A","2008",92.3472662091935,
"PRT","TERMTRADE","TOT","RT","A","2009",96.8133636649158,
"PRT","TERMTRADE","TOT","RT","A","2010",95.4708548074586,
"PRT","TERMTRADE","TOT","RT","A","2011",93.7117441127702,
"PRT","TERMTRADE","TOT","RT","A","2012",94.3308625704063,
"PRT","TERMTRADE","TOT","RT","A","2013",95.980628346907,
"PRT","TERMTRADE","TOT","RT","A","2014",96.9152449140304,
"PRT","TERMTRADE","TOT","RT","A","2015",100,
"PRT","TERMTRADE","TOT","RT","A","2016",101.626312475781,
"PRT","TERMTRADE","TOT","RT","A","2017",100.832311854845,
"PRT","TERMTRADE","TOT","RT","A","2018",100.30821675989,
"PRT","TERMTRADE","TOT","RT","A","2019",101.11777688521,
"PRT","TERMTRADE","TOT","RT","A","2020",102.239156170198,"E"
"PRT","TERMTRADE","TOT","RT","A","2021",100.708894814648,"E"
"SVK","TERMTRADE","TOT","RT","A","2006",108.268299056331,
"SVK","TERMTRADE","TOT","RT","A","2007",107.042722154231,
"SVK","TERMTRADE","TOT","RT","A","2008",105.291047221216,
"SVK","TERMTRADE","TOT","RT","A","2009",104.095032962404,
"SVK","TERMTRADE","TOT","RT","A","2010",103.299104683798,
"SVK","TERMTRADE","TOT","RT","A","2011",101.921678380722,
"SVK","TERMTRADE","TOT","RT","A","2012",100.660999194799,
"SVK","TERMTRADE","TOT","RT","A","2013",100.213194316701,
"SVK","TERMTRADE","TOT","RT","A","2014",100.267099255537,
"SVK","TERMTRADE","TOT","RT","A","2015",100,
"SVK","TERMTRADE","TOT","RT","A","2016",99.6121759331328,
"SVK","TERMTRADE","TOT","RT","A","2017",99.0593428417813,
"SVK","TERMTRADE","TOT","RT","A","2018",98.4750057947224,
"SVK","TERMTRADE","TOT","RT","A","2019",98.2187493448748,
"SVK","TERMTRADE","TOT","RT","A","2020",97.8382736048693,
"SVK","TERMTRADE","TOT","RT","A","2021",97.0068596920631,
"ESP","TERMTRADE","TOT","RT","A","2006",102.797587930646,
"ESP","TERMTRADE","TOT","RT","A","2007",103.685746383846,
"ESP","TERMTRADE","TOT","RT","A","2008",102.005497400868,
"ESP","TERMTRADE","TOT","RT","A","2009",106.706149615026,
"ESP","TERMTRADE","TOT","RT","A","2010",103.733354324171,
"ESP","TERMTRADE","TOT","RT","A","2011",100.030947593915,
"ESP","TERMTRADE","TOT","RT","A","2012",98.9428102487783,
"ESP","TERMTRADE","TOT","RT","A","2013",100.33849204632,
"ESP","TERMTRADE","TOT","RT","A","2014",99.511702456426,
"ESP","TERMTRADE","TOT","RT","A","2015",100,
"ESP","TERMTRADE","TOT","RT","A","2016",100.429419564565,
"ESP","TERMTRADE","TOT","RT","A","2017",99.9346730534893,
"ESP","TERMTRADE","TOT","RT","A","2018",99.286067841851,
"ESP","TERMTRADE","TOT","RT","A","2019",98.7541282750703,"E"
"ESP","TERMTRADE","TOT","RT","A","2020",100.943641551257,"E"
"ESP","TERMTRADE","TOT","RT","A","2021",99.731768560414,"E"
"SWE","TERMTRADE","TOT","RT","A","2006",97.9490331269964,
"SWE","TERMTRADE","TOT","RT","A","2007",99.3641406407242,
"SWE","TERMTRADE","TOT","RT","A","2008",99.0658005724632,
"SWE","TERMTRADE","TOT","RT","A","2009",100.102858407782,
"SWE","TERMTRADE","TOT","RT","A","2010",99.7328376999194,
"SWE","TERMTRADE","TOT","RT","A","2011",99.0217803953339,
"SWE","TERMTRADE","TOT","RT","A","2012",99.0326316928527,
"SWE","TERMTRADE","TOT","RT","A","2013",99.2326492943072,
"SWE","TERMTRADE","TOT","RT","A","2014",99.3332758957387,
"SWE","TERMTRADE","TOT","RT","A","2015",100,
"SWE","TERMTRADE","TOT","RT","A","2016",100.338337084222,
"SWE","TERMTRADE","TOT","RT","A","2017",99.4381213551362,
"SWE","TERMTRADE","TOT","RT","A","2018",98.0938382514494,
"SWE","TERMTRADE","TOT","RT","A","2019",98.5343447600404,
"SWE","TERMTRADE","TOT","RT","A","2020",99.3165428628,
"SWE","TERMTRADE","TOT","RT","A","2021",100.019746477272,
"CHE","TERMTRADE","TOT","RT","A","2006",97.9578550507193,
"CHE","TERMTRADE","TOT","RT","A","2007",97.0812304442836,
"CHE","TERMTRADE","TOT","RT","A","2008",96.3010895837057,
"CHE","TERMTRADE","TOT","RT","A","2009",97.7177192567197,
"CHE","TERMTRADE","TOT","RT","A","2010",98.2098781564499,
"CHE","TERMTRADE","TOT","RT","A","2011",98.5388403416757,
